año,token_principal,ngrama,freq_conjunta
2018,agricultores,regionales,12
2019,agricultores,desarrollo,9
2019,agricultores,comunales,6
2019,agricultores,gobiernos,6
2019,agricultores,nuevo,6
2019,agricultores,regionales,6
1996,agricultura,desarrollo,50
1996,agricultura,rural,40
1996,agricultura,acceso,30
1996,agricultura,comunales,30
1996,agricultura,gobiernos,30
2006,agricultura,desarrollo,10
2006,agricultura,rural,8
2006,agricultura,acceso,6
2006,agricultura,comunales,6
2006,agricultura,gobiernos,6
2009,agricultura,desarrollo,10
2009,agricultura,rural,8
2009,agricultura,acceso,6
2009,agricultura,comunales,6
2009,agricultura,gobiernos,6
2016,agricultura,desarrollo,10
2016,agricultura,rural,8
2016,agricultura,acceso,6
2016,agricultura,comunales,6
2016,agricultura,gobiernos,6
2018,agricultura,desarrollo,20
2018,agricultura,rural,16
2018,agricultura,acceso,12
2018,agricultura,comunales,12
2018,agricultura,gobiernos,12
2019,agricultura,desarrollo,10
2019,agricultura,rural,8
2019,agricultura,acceso,6
2019,agricultura,comunales,6
2019,agricultura,gobiernos,6
2024,agricultura,desarrollo,10
2024,agricultura,rural,8
2024,agricultura,acceso,6
2024,agricultura,comunales,6
2024,agricultura,gobiernos,6
1996,agua,aguas,16
1996,agua,infraestructura,12
1996,agua,embalses,11
1996,agua,plan,11
1996,agua,recursos,11
2006,agua,aguas,32
2006,agua,infraestructura,24
2006,agua,embalses,22
2006,agua,plan,22
2006,agua,recursos,22
2008,agua,aguas,16
2008,agua,infraestructura,12
2008,agua,embalses,11
2008,agua,plan,11
2008,agua,recursos,11
2011,agua,aguas,64
2011,agua,infraestructura,48
2011,agua,embalses,44
2011,agua,plan,44
2011,agua,recursos,44
2012,agua,aguas,48
2012,agua,infraestructura,36
2012,agua,embalses,33
2012,agua,plan,33
2012,agua,recursos,33
2015,agua,aguas,32
2015,agua,infraestructura,24
2015,agua,embalses,22
2015,agua,plan,22
2015,agua,recursos,22
2018,agua,aguas,16
2018,agua,infraestructura,12
2018,agua,embalses,11
2018,agua,plan,11
2018,agua,recursos,11
2020,agua,aguas,32
2020,agua,infraestructura,24
2020,agua,embalses,22
2020,agua,plan,22
2020,agua,recursos,22
2021,agua,aguas,16
2021,agua,infraestructura,12
2021,agua,embalses,11
2021,agua,plan,11
2021,agua,recursos,11
2023,agua,aguas,32
2023,agua,infraestructura,24
2023,agua,embalses,22
2023,agua,plan,22
2023,agua,recursos,22
2006,aguas,agua,16
2006,aguas,embalses,10
2006,aguas,aguas,8
2006,aguas,estrategia,7
2006,aguas,sistemas,7
2011,aguas,agua,64
2011,aguas,embalses,40
2011,aguas,aguas,32
2011,aguas,estrategia,28
2011,aguas,sistemas,28
2012,aguas,agua,32
2012,aguas,embalses,20
2012,aguas,aguas,16
2012,aguas,estrategia,14
2012,aguas,sistemas,14
2015,aguas,agua,16
2015,aguas,embalses,10
2015,aguas,aguas,8
2015,aguas,estrategia,7
2015,aguas,sistemas,7
2000,ahora,innovación,14
2000,ahora,economía,12
2000,ahora,energía,12
2000,ahora,pymes,12
2000,ahora,investigación,10
2001,ahora,innovación,7
2001,ahora,economía,6
2001,ahora,energía,6
2001,ahora,pymes,6
2001,ahora,investigación,5
2006,ahora,innovación,7
2006,ahora,economía,6
2006,ahora,energía,6
2006,ahora,pymes,6
2006,ahora,investigación,5
2008,ahora,innovación,7
2008,ahora,economía,6
2008,ahora,energía,6
2008,ahora,pymes,6
2008,ahora,investigación,5
2010,ahora,innovación,7
2010,ahora,economía,6
2010,ahora,energía,6
2010,ahora,pymes,6
2010,ahora,investigación,5
2011,ahora,innovación,21
2011,ahora,economía,18
2011,ahora,energía,18
2011,ahora,pymes,18
2011,ahora,investigación,15
2012,ahora,innovación,14
2012,ahora,economía,12
2012,ahora,energía,12
2012,ahora,pymes,12
2012,ahora,investigación,10
2014,ahora,innovación,7
2014,ahora,economía,6
2014,ahora,energía,6
2014,ahora,pymes,6
2014,ahora,investigación,5
2023,ahora,innovación,28
2023,ahora,economía,24
2023,ahora,energía,24
2023,ahora,pymes,24
2023,ahora,investigación,20
2024,ahora,innovación,14
2024,ahora,economía,12
2024,ahora,energía,12
2024,ahora,pymes,12
2024,ahora,investigación,10
2025,ahora,innovación,7
2025,ahora,economía,6
2025,ahora,energía,6
2025,ahora,pymes,6
2025,ahora,investigación,5
2012,ahorro,sistema,4
2012,ahorro,economía,3
2012,ahorro,empleos,3
2012,ahorro,innovación,3
2012,ahorro,reforma,3
2015,ahorro,sistema,4
2015,ahorro,economía,3
2015,ahorro,empleos,3
2015,ahorro,innovación,3
2015,ahorro,reforma,3
2018,ahorro,sistema,8
2018,ahorro,economía,6
2018,ahorro,empleos,6
2018,ahorro,innovación,6
2018,ahorro,reforma,6
2025,ahorro,sistema,8
2025,ahorro,economía,6
2025,ahorro,empleos,6
2025,ahorro,innovación,6
2025,ahorro,reforma,6
2006,alimentos,sino,3
2006,alimentos,sólo,3
2006,alimentos,biocombustibles,2
2006,alimentos,consorcio,2
2006,alimentos,construcción,2
2008,alimentos,sino,6
2008,alimentos,sólo,6
2008,alimentos,biocombustibles,4
2008,alimentos,consorcio,4
2008,alimentos,construcción,4
2016,alimentos,sino,3
2016,alimentos,sólo,3
2016,alimentos,biocombustibles,2
2016,alimentos,consorcio,2
2016,alimentos,construcción,2
2017,alimentos,sino,3
2017,alimentos,sólo,3
2017,alimentos,biocombustibles,2
2017,alimentos,consorcio,2
2017,alimentos,construcción,2
2000,allá,innovación,7
2000,allá,lota,4
2000,allá,nuevas,3
2000,allá,pymes,3
2000,allá,servicios,3
2002,allá,innovación,7
2002,allá,lota,4
2002,allá,nuevas,3
2002,allá,pymes,3
2002,allá,servicios,3
2009,allá,innovación,7
2009,allá,lota,4
2009,allá,nuevas,3
2009,allá,pymes,3
2009,allá,servicios,3
2012,allá,innovación,14
2012,allá,lota,8
2012,allá,nuevas,6
2012,allá,pymes,6
2012,allá,servicios,6
2014,allá,innovación,7
2014,allá,lota,4
2014,allá,nuevas,3
2014,allá,pymes,3
2014,allá,servicios,3
2015,allá,innovación,7
