source,target,peso
materia,vamos,10
mejorar,nueva,10
metro,personas,10
metro,santiago,10
miles,vamos,10
mundo,regiones,10
mundo,siglo,10
mundo,sino,10
naturaleza,vamos,10
nueva,nuevas,10
nuevas,nuevos,10
nuevo,protección,10
nuevo,través,10
oportunidades,sociedad,10
personas,san,10
personas,servicios,10
personas,trabajo,10
probidad,transparencia,10
profesores,través,10
promover,través,10
proyecto,red,10
proyecto,servicio,10
proyecto,tecnología,10
proyectos,recursos,10
puerto,puerto,10
red,servicios,10
reformas,vamos,10
regionales,través,10
regiones,través,10
ruta,vamos,10
santiago,santiago,10
servicios,sociedad,10
siglo,transparencia,10
siglo,xxi,10
tecnología,vida,10
tecnologías,vamos,10
transporte,través,10
valor,vamos,10
vamos,xxi,10
áreas,familias,10
acceso,campo,9
acceso,cultura,9
acceso,deporte,9
acceso,especial,9
acceso,ley,9
acceso,precios,9
acceso,proyecto,9
acción,inteligencia,9
actual,ciudadanos,9
actual,ley,9
además,futuro,9
además,hacia,9
además,infraestructura,9
además,innovación,9
además,investigación,9
además,línea,9
además,rostro,9
agenda,modernizar,9
agricultores,desarrollo,9
ampliar,ciudadanos,9
ampliar,congreso,9
ampliar,materia,9
ampliar,rostro,9
ampliar,siglo,9
ampliar,transparencia,9
ancha,banda,9
aquellos,países,9
aquí,vamos,9
arauco,construcción,9
armadas,protección,9
asia,puerto,9
atención,centros,9
avanzando,digital,9
avanzar,compromiso,9
avanzar,nuevo,9
avanzar,sino,9
avanzar,vida,9
bienes,servicios,9
buses,red,9
cable,puerto,9
cada,ciencia,9
cada,mejorar,9
cada,públicos,9
calidad,campo,9
calidad,digital,9
calidad,modernizar,9
calidad,promover,9
calidad,van,9
cambio,vamos,9
campo,promover,9
campo,través,9
capacidad,mejorar,9
capacidad,vamos,9
ciencia,inversión,9
ciencia,ministerio,9
ciencia,sociedad,9
ciudadanos,eficacia,9
ciudadanos,muchas,9
ciudadanos,red,9
ciudadanos,rostro,9
ciudadanos,transparencia,9
ciudadanos,trámites,9
civil,ley,9
civil,protección,9
civil,red,9
civil,vida,9
comercio,digital,9
competitividad,innovación,9
computadores,enlaces,9
comunales,gobiernos,9
comunales,nuevo,9
comunales,sistema,9
comunales,través,9
comunas,red,9
comunas,transporte,9
concesiones,desarrollo,9
concesiones,sistema,9
congreso,consejo,9
congreso,mundo,9
congreso,puerto,9
congreso,rostro,9
congreso,sistema,9
congreso,vamos,9
consejo,innovación,9
continente,vamos,9
crear,empleos,9
crear,emprendimiento,9
crecer,innovación,9
cultura,deportistas,9
cultura,digital,9
cultura,especial,9
cultura,precios,9
cultura,promover,9
debemos,materia,9
deporte,deportistas,9
deporte,especial,9
deporte,precios,9
deporte,promover,9
deporte,sociedad,9
deportistas,especial,9
deportistas,precios,9
deportistas,promover,9
deportistas,sociedad,9
derechos,desarrollo,9
derechos,sistema,9
desarrollo,económico,9
desarrollo,ello,9
desarrollo,fin,9
desarrollo,financiamiento,9
desarrollo,impulsar,9
desarrollo,inversiones,9
desarrollo,oportunidad,9
desarrollo,proyecto,9
desarrollo,regional,9
desarrollo,respecto,9
desarrollo,ruta,9
digital,establecer,9
digital,fundamental,9
digital,hecho,9
digital,hospital,9
digital,innovación,9
digital,permita,9
digital,personas,9
digital,plan,9
digital,salud,9
digital,sino,9
digital,trámites,9
doble,vía,9
días,vamos,9
educación,recursos,9
educación,sistema,9
educación,vamos,9
eficacia,protección,9
eficacia,sistema,9
eficacia,vida,9
ello,energética,9
ello,mundo,9
ello,sistema,9
emprender,libertad,9
empresa,innovación,9
empresas,pequeñas,9
energía,política,9
energía,transmisión,9
enfermedades,nuevos,9
enfrentar,mejorar,9
enfrentar,revolución,9
enfrentar,tecnológica,9
enlaces,internet,9
esfuerzo,internet,9
esfuerzo,vamos,9
especial,precios,9
